Generation 0:
Agg: 0.49995000499950004, Lines: 4.999500049995001e-05, Holes: 0.49995000499950004, Bump: -4.999500049995001e-05, Multi: 0.0, Fitness: 0
Agg: -0.06801381478793612, Lines: 0.5396727505501104, Holes: -0.26459088884826404, Bump: -0.031540567612208976, Multi: 0.09618197820148035, Fitness: 1310
Agg: -0.09138521110661704, Lines: 0.6461088764752684, Holes: -0.17780636735353872, Bump: -0.035484641092807835, Multi: 0.04921490397176802, Fitness: 2430
Agg: -0.07616930111970699, Lines: 0.6113638288089476, Holes: -0.21822685331156283, Bump: -0.029513376668979813, Multi: 0.06472664009080283, Fitness: 0
Agg: -0.08756800392924856, Lines: 0.6324389207856114, Holes: -0.17587655854680492, Bump: -0.041306993603868414, Multi: 0.06280952313446667, Fitness: 5310
Agg: -0.07697127494018162, Lines: 0.6150325552312804, Holes: -0.1940851323065815, Bump: -0.03285947658676913, Multi: 0.08105156093518748, Fitness: 5500
Agg: -0.0777110217313973, Lines: 0.6594083635162071, Holes: -0.17528436707775935, Bump: -0.03265496615320485, Multi: 0.05494128152143147, Fitness: 200
Agg: -0.10249386219587459, Lines: 0.6080471960273437, Holes: -0.20913034246060724, Bump: -0.033980091564197276, Multi: 0.04634850775197725, Fitness: 5380
Agg: -0.06606281101428353, Lines: 0.6689050741110856, Holes: -0.19639946840803593, Bump: -0.03015416609215156, Multi: 0.03847848037444334, Fitness: 5100
Agg: -0.09448417504567394, Lines: 0.5720732903078148, Holes: -0.2125222017694232, Bump: -0.03492203220377838, Multi: 0.08599830067330953, Fitness: 930
Agg: -0.07774752595258332, Lines: 0.662038680497663, Holes: -0.16414033591838298, Bump: -0.03421019307045564, Multi: 0.061863264560915, Fitness: 5570
Agg: -0.10048323845130452, Lines: 0.6437861203896946, Holes: -0.1544474209581568, Bump: -0.035934690455760844, Multi: 0.06534852974508318, Fitness: 5490
Agg: -0.17704401441927586, Lines: 0.04816298647733522, Holes: -0.39688662503242356, Bump: -0.30804141403704893, Multi: 0.06986496003391628, Fitness: 300
Agg: -0.14284091872245125, Lines: 0.2260770062774489, Holes: -0.08950818233809821, Bump: -0.19808369880111715, Multi: 0.3434901938608845, Fitness: 430
Agg: -0.06915977202014688, Lines: 0.06894399222530764, Holes: -0.13606618635114107, Bump: -0.3715430863577808, Multi: 0.35428696304562346, Fitness: 230

Best from Generation 3
Agg: -0.07697127494018162, Lines: 0.6150325552312804, Holes: -0.1940851323065815, Bump: -0.03285947658676913, Multi: 0.08105156093518748, Fitness: 5500
Agg: -0.07774752595258332, Lines: 0.662038680497663, Holes: -0.16414033591838298, Bump: -0.03421019307045564, Multi: 0.061863264560915, Fitness: 5570

Generation 4:
Agg: -0.07697127494018162, Lines: 0.6150325552312804, Holes: -0.1940851323065815, Bump: -0.03285947658676913, Multi: 0.08105156093518748, Fitness: 50
Agg: -0.07774752595258332, Lines: 0.662038680497663, Holes: -0.16414033591838298, Bump: -0.03421019307045564, Multi: 0.061863264560915, Fitness: 0
Agg: -0.07706280883797897, Lines: 0.6448086738374343, Holes: -0.1775647078950107, Bump: -0.03351783917335871, Multi: 0.06704597025621732, Fitness: 1070
